,Unnamed: 0,id,agent,knowledge,tags,step
0,0,1,code_act,"When adding a conditional configuration block to a Makefile (such as for FFTW/MKL), always insert the entire construct: the `ifeq` line, all variable assignments, and the matching `endif`.  Skipping any part can cause the make logic to fail silently.  Use a unified diff with context lines to preserve surrounding content.","[""shell"", ""ls"", ""context""]",<2
1,1,2,code_act,"In the gyrokinetic code, the `run/Makefile` must contain the full conditional block that sets the compiler include path and linker flags for the FFTW/MKL backend:

```
ifeq ($(FFT),gkvp_fft_fftw)
  INC = -I$(MKLROOT)/include/fftw
  LIB = -L$(MKLROOT)/lib -qmkl=sequential
endif
```

This block must be present immediately after the line that sets `FFT = gkvp_fft_fftw`.  If omitted, the build will silently succeed but the executable will lack the necessary FFT symbol definitions, causing runtime errors or incorrect physics.  Ensure `MKLROOT` is exported (e.g. by `module load intel/...`).","[""shell"", ""pwd"", ""sanity-check""]",<2
2,2,3,code_act,"When adding an object file like `$(FILEIO).o` to a multi‑line `OBJS` assignment in a Makefile, keep the existing line‑continuation backslashes. Insert the new line immediately after the last file whose line ends with a backslash. If the preceding line already has a trailing backslash, simply add the new line without an extra backslash. If it does not, add a backslash before the new entry to maintain the continuation. Preserve the original indentation. This guarantees that `make` correctly parses the list and links the required implementation.","[""shell"", ""rg"", ""search""]",<2
3,3,4,code_act,"When editing Fortran source such as `src/gkvp_fft_fftw.f90`, ensure that the module explicitly `USE`s the MKL FFT interface (e.g., `USE MKL_FFT`) if it wasn’t already present. This guarantees that the compiler knows about the MKL FFT procedures and that name mangling is handled correctly.","[""shell"", ""rg"", ""inventory""]",<2
4,4,5,code_act,"To confirm that the chosen file‑I/O implementation is actually compiled, inspect the compilation logs for the source file that corresponds to the current value of `FILEIO` (e.g., `gkvp_fileio_zarr.f90`). The presence of a line like `gfortran … -c gkvp_fileio_zarr.f90 -o $(FILEIO).o` indicates the source was compiled.","[""shell"", ""rg"", ""fortran""]",<2
5,5,6,code_act,"To re‑enable a removed &vmecp namelist, insert it exactly between the &ring section and the &bozxf line. Use a unified‑diff hunk: start with `*** Begin Patch`, end with `*** End Patch`. Include each parameter line with a trailing comma and close the block with `&end`. Only one &vmecp section should exist. Example:
*** Begin Patch
*** Update File: run/gkvp_namelist
@@
 &end
+&vmecp
+    s_input   = 0.5d0,
+    nss       = 501,
+    ntheta    = 384,
+    nzeta     = 0,
+&end
*** End Patch.","[""shell"", ""rg"", ""call-graph""]",<2
6,6,7,code_act,"When the local magnetic‑field normalization `bb` is missing in a gyrokinetic code, the normalization used by many geometry and velocity‑scaling routines breaks, leading to NaNs or divergent results for `ubr`, `ubz`, and metric tensors. Re‑insert the following line immediately after computing the reference field `b0 = bfld_magb(1_DP, 0_DP)` in `src/gkvp_ring.f90`:

```
bb = bfld_magb(r, z) / b0
```

*Why this fixes the problem*:
- `bfld_magb(r, z)` returns the local magnetic‑field magnitude.
- Dividing by the reference field `b0` normalizes it, restoring the expected normalisation used throughout the code.
- With `bb` computed, downstream routines compute correct geometric factors and velocity scales.

After editing, recompile and run a sanity check: call `ring_coordinates` at a known location and confirm that `bb` is non‑zero and matches `bfld_magb(r,z)/b0` directly. Verify that quantities such as `ubr`, `ubz`, and metric components are finite and physically reasonable.","[""shell"", ""rg"", ""config""]",<2
7,7,8,code_act,"If the perpendicular‑velocity representation has broken because the arrays `vp`, `mir`, and `mu` were removed from the module, re‑introduce them with the declaration

    real(kind=DP), dimension(-nz:nz-1,0:nm) :: vp, mir, mu

as part of the vp‑mu block in `src/gkvp_header.f90`. Restoring these arrays restores the full set of vp‑mu operators and eliminates runtime errors that arise from missing symbols.","[""shell"", ""head"", ""preview""]",<2
8,8,9,code_act,"To apply a patch file interactively, wrap the diff in a single‑quoted heredoc to prevent shell expansion:

```bash
apply_patch <<'PATCH'
<unified diff contents>
PATCH
```

The single quotes around `PATCH` protect special characters (e.g., backslashes, dollar signs, Fortran continuation). Always verify the resulting diff with `git diff` before compiling.","[""shell"", ""tail"", ""sanity-check""]",<2
9,9,10,code_act,"If ripgrep (rg) is unavailable, use the built‑in Git search: `git grep -n ""pattern"" [--pathspec]`. The `-n` flag provides line numbers, simplifying navigation and enabling automated edits.","[""shell"", ""wc"", ""metrics""]",<2
