run_id,agent,knowledge,tags
,code_act,cap results and summarize scans: report file count and first 3 matches per file; stream or chunk output to avoid token blowups; skip listing large blocks (like long README sections) unless asked.,"[""scanning"", ""output-limiting"", ""robustness""]"
,answer,stop printing raw logs once token limit is near; present a concise answer with an optional 'show details' on request; include a summary and next steps.,"[""output-control"", ""summarization"", ""fail-safe""]"
run-20251117-150706-b0e804b4,code_act,"Before scanning, fix scope: do recursive search, target 'SEIMEI' with case-sensitive filter, skip binary files, cap large reads, and return a structured JSON of matches (file, line, context).","[""scoping"", ""robustness"", ""structured-output""]"
run-20251117-150706-b0e804b4,answer,"Improve final answers: summarize user goal up front, give a concise SEIMEI definition from docs, then offer concrete next steps (deep scan, extract definition, summarize sections).","[""response-quality"", ""clarity"", ""next-steps""]"
run-20251117-151415-8754fbd6,code_act,Guard rails for long runs: detect near token_limit and emit a concise partial report; cap details; read text files only; skip binaries; filter files upfront; stream progress updates.,"[""planning"", ""limits"", ""robustness""]"
run-20251117-151415-8754fbd6,code_act,"Return a compact summary per file (count, sample) and a top-level summary; keep file scanning robust (encoding safety, skip unreadable files).","[""summarization"", ""output"", ""robustness""]"
run-20251117-151415-8754fbd6,answer,"If token_limit hits, cut output immediately and present a brief plan with next steps; provide a ready-to-run command or request for a narrower scope.","[""fallback"", ""communication"", ""interfaces""]"
run-20251210-214456-cc6f72f0,answer,"Offer sane defaults (e.g., US spelling, correct grammar only, full corrected README) and proceed if the user doesn't specify to reduce friction.","[""ux"", ""defaults""]"
run-20251210-214456-cc6f72f0,answer,"Give clear paste/upload instructions (accepted formats, max file size, how to include code blocks) to avoid back-and-forth and failed uploads.","[""io"", ""clarity""]"
run-20251210-214456-cc6f72f0,answer,Auto-detect the English variant from the README and only ask when ambiguous; report the detected variant before editing.,"[""nlp"", ""heuristic""]"
run-20251210-214456-cc6f72f0,answer,"Provide a short example of each output format (corrected file, inline-marked, diff) so users can choose quickly without extra questions.","[""clarity"", ""examples""]"
run-20251210-214456-cc6f72f0,answer,"Explicitly state you'll preserve code blocks, commands, links, and technical phrasing; list what may be reworded (examples, prose) to build trust.","[""preserve"", ""safeguard""]"
run-20251210-214456-cc6f72f0,answer,State an estimated turnaround and precise scope (what you'll fix vs what you'll not change) to set clear expectations up front.,"[""expectations""]"
run-20251210-214456-cc6f72f0,answer,Avoid message truncation: keep option lists concise or include a clear 'more options' prompt; ensure the full instruction set is transmitted.,"[""robustness"", ""communication""]"
run-20251210-214615-f7bb2fc4,answer,"autocorrect/clarify obvious typos in user requests (e.g., 'grammer'→'grammar') and confirm scope: grammar-only or include clarity/style edits.","[""clarification"", ""editing""]"
run-20251210-214615-f7bb2fc4,answer,"when asking for files, list clear upload options and examples (paste, raw url, gist, repo link, attachment) and note any size or format limits.","[""input"", ""ux""]"
run-20251210-214615-f7bb2fc4,answer,"offer sensible defaults to reduce friction: grammar-only, US English, preserve markdown/code blocks, deliver corrected README unless user specifies otherwise.","[""defaults"", ""workflow""]"
run-20251210-214615-f7bb2fc4,answer,explicitly present output formats and pick a minimal default: corrected README plus a short summary of edits; provide diff or inline comments only on request.,"[""output"", ""workflow""]"
run-20251210-214615-f7bb2fc4,answer,include a tiny before/after example in the prompt so users see concrete value and are likelier to paste content immediately.,"[""engagement"", ""prompting""]"
run-20251210-214615-f7bb2fc4,answer,"if the user doesn't supply the file, send a single concise follow-up restating defaults and offering to proceed immediately with them.","[""follow-up"", ""ux""]"
run-20251217-163714-0b887d2e,code_act,Validate required parameters locally before invoking: wrap command args as <parameter=...>...</parameter> and fail fast with a clear error if missing.,"[""validation"", ""robustness""]"
run-20251217-163714-0b887d2e,code_act,"On success capture stdout/stderr separately, truncate very long output, and produce a simple structured summary (dirs, files, counts) for the answer agent.","[""output-handling"", ""formatting""]"
run-20251217-163714-0b887d2e,code_act,"If the command errors, include the attempted command and error text in metadata and retry once with corrected params before giving up.","[""error-handling"", ""retries""]"
run-20251217-163714-0b887d2e,answer,Don't assume LLM availability: implement a deterministic fallback that formats tool logs into a human reply (parse ls output into categorized list).,"[""fallback"", ""resilience""]"
run-20251217-163714-0b887d2e,answer,"When LLM is down, at minimum echo relevant tool output, give a concise summary (num files/dirs, notable files), and offer to show full raw output.","[""usability"", ""fallback""]"
run-20251217-163714-0b887d2e,answer,Always read agent_history for successful tool outputs and use that data to compose replies; treat tool outputs as primary source if the LLM is unavailable.,"[""context"", ""tool-use""]"
