id,agent,knowledge,tags,step
1,code_act,"Use `ls -a` to inventory the repo before touching files so you know which modules, patches, or scripts exist.","[""shell"", ""ls"", ""context""]",
2,code_act,Run `pwd` and confirm you are inside the experiment workspace before editing paths.,"[""shell"", ""pwd"", ""sanity-check""]",
3,code_act,"Run `rg -n ""keyword""` across the repo to locate definitions or uses before assuming semantics.","[""shell"", ""rg"", ""search""]",
4,code_act,List Fortran sources with `rg --files -g '*.f90'` to scope the search surface.,"[""shell"", ""rg"", ""inventory""]",
5,code_act,"Search for module or routine names with `rg -n ""module_name"" -g '*.f90'` to find declarations.","[""shell"", ""rg"", ""fortran""]",
6,code_act,"Use `rg -n ""call routine_name"" -g '*.f90'` to find call sites and verify control flow.","[""shell"", ""rg"", ""call-graph""]",
7,code_act,"Track a config flag via `rg -n ""flag_name""` to see where branches diverge.","[""shell"", ""rg"", ""config""]",
8,code_act,"Call `head -n 40 path/to/file` to see file headers, module names, and includes.","[""shell"", ""head"", ""preview""]",
9,code_act,Use `tail -n 40` on build or run logs to spot the most recent error lines.,"[""shell"", ""tail"", ""sanity-check""]",
10,code_act,`wc -l file.f90` gives a quick sense of file size before deep edits.,"[""shell"", ""wc"", ""metrics""]",
11,code_act,"Use `sed -n '120,200p' file.f90` or `nl -ba file.f90 | sed -n '120,200p'` to view numbered context.","[""shell"", ""sed"", ""preview""]",
12,code_act,Use `git diff -U3 path/to/file` to compare local edits with expected changes.,"[""shell"", ""git"", ""diff""]",
13,code_act,Run `git status -sb` to confirm which files changed before and after patching.,"[""shell"", ""git"", ""status""]",
14,code_act,"Search preprocessor guards with `rg -n ""#if|#ifdef"" -g '*.[Ff]90'` to check compile-time branches.","[""shell"", ""rg"", ""preprocessor""]",
15,code_act,"Find constants with `rg -n ""parameter"" -g '*.f90'` to locate default values.","[""shell"", ""rg"", ""constants""]",
16,code_act,Use a short Python regex to list subroutine/module names so you can map the file structure quickly.,"[""python"", ""parsing"", ""fortran""]",
17,code_act,Write a Python snippet to scan for assignments to a target variable and print line numbers.,"[""python"", ""search"", ""variables""]",
18,code_act,Use Python to extract and print a specific block (between two markers) when the file is large.,"[""python"", ""parsing"", ""context""]",
19,code_act,Use Python to scan `call` statements across files and build a quick caller list for a routine.,"[""python"", ""call-graph"", ""analysis""]",
20,code_act,Use Python's difflib to compare two versions of a source file and isolate the minimal delta.,"[""python"", ""diff"", ""analysis""]",
21,code_act,"Search namelist or input parameters with `rg -n ""&"" -g '*.nml'` or `rg -n ""namelist""` to trace runtime flags.","[""shell"", ""rg"", ""runtime""]",
22,code_act,List relevant configs with `rg --files -g '*.nml' -g '*.in'` so you know where inputs live.,"[""shell"", ""rg"", ""config""]",
23,code_act,"Use `rg -n ""TODO|FIXME""` to see if there are hints about known issues.","[""shell"", ""rg"", ""context""]",
24,code_act,Use Python to count how often a symbol appears per file to prioritize where to inspect first.,"[""python"", ""metrics"", ""analysis""]",
25,code_act,Compute `md5sum path/to/file` before and after edits to confirm you are modifying the intended file.,"[""shell"", ""md5sum"", ""integrity""]",
26,think,"This reasoning path seems off. Step back, restate the objective, and try a different approach.","[""reasoning"", ""course-correct""]",
27,think,You're leaning on an assumption without evidence. Verify it against the repo or logs before continuing.,"[""reasoning"", ""verification""]",
28,think,"If the current plan isn't yielding results, widen the hypothesis and validate with file evidence.","[""reasoning"", ""course-correct""]",
29,code_act,The file you investigated seems unrelated. Look for other files that are more relevant to the issue.,"[""code_act"", ""course-correct""]",
30,code_act,No signal from that file. Broaden the `rg` search or pivot to config/namelist inputs.,"[""code_act"", ""search"", ""course-correct""]",
31,code_act,Investigate src/gkvp_advnc.f90. This file is about RHS evaluation and time advance via Runge-Kutta-Gill.,"[""code_act"", ""inspect"", ""src""]",
32,code_act,"Investigate src/gkvp_bndry.f90. This file is about MPI boundary communications in z, v_l, and mu.","[""code_act"", ""inspect"", ""src""]",
33,code_act,Investigate src/gkvp_clock.f90. This file is about elapsed time measurements and timers.,"[""code_act"", ""inspect"", ""src""]",
34,code_act,Investigate src/gkvp_colli.f90. This file is about the collision operator.,"[""code_act"", ""inspect"", ""src""]",
35,code_act,Investigate src/gkvp_colliimp.f90. This file is about the implicit collision solver.,"[""code_act"", ""inspect"", ""src""]",
36,code_act,Investigate src/gkvp_colliimp_SoA.f90. This file is about the implicit collision solver in SoA layout.,"[""code_act"", ""inspect"", ""src""]",
37,code_act,Investigate src/gkvp_dtc.f90. This file is about time-step size control.,"[""code_act"", ""inspect"", ""src""]",
38,code_act,Investigate src/gkvp_exb.f90. This file is about the E x B term.,"[""code_act"", ""inspect"", ""src""]",
39,code_act,Investigate src/gkvp_f0.56_advnc_tune_nec1.f90. This file is about tuned f0.56/NEC1 advance logic with flux-surface and field-line averages.,"[""code_act"", ""inspect"", ""src""]",
40,code_act,Investigate src/gkvp_f0.56_bndry_tune_nec1.f90. This file is about a tuned boundary/utilities variant for f0.56/NEC1.,"[""code_act"", ""inspect"", ""src""]",
41,code_act,Investigate src/gkvp_f0.56_colli_tune_nifs.f90. This file is about a tuned collision operator for f0.56/NIFS.,"[""code_act"", ""inspect"", ""src""]",
42,code_act,Investigate src/gkvp_f0.56_exb_tune2r_0813.f90. This file is about a tuned E x B term implementation.,"[""code_act"", ""inspect"", ""src""]",
43,code_act,Investigate src/gkvp_f0.56_fft_fftw_tune2r_0813.f90. This file is about a tuned FFT module for E x B using SSL2.,"[""code_act"", ""inspect"", ""src""]",
44,code_act,Investigate src/gkvp_f0.56_zfilter_tune_nec1.f90. This file is about a tuned z-filter/utilities variant for f0.56/NEC1.,"[""code_act"", ""inspect"", ""src""]",
45,code_act,Investigate src/gkvp_fft_fftw.f90. This file is about the FFTW-based FFT module for E x B.,"[""code_act"", ""inspect"", ""src""]",
46,code_act,Investigate src/gkvp_fileio_fortran.f90. This file is about Fortran binary output I/O.,"[""code_act"", ""inspect"", ""src""]",
47,code_act,Investigate src/gkvp_fileio_netcdf.f90. This file is about NetCDF output I/O.,"[""code_act"", ""inspect"", ""src""]",
48,code_act,Investigate src/gkvp_fileio_zarr.f90. This file is about the Zarr output backend in the file I/O module.,"[""code_act"", ""inspect"", ""src""]",
