id,agent,knowledge,tags,step
code_ls_inventory,code_act,"Use `ls -a` to inventory the repo before touching files so you know which modules, patches, or scripts exist.","[""shell"", ""ls"", ""context""]",
code_pwd_confirm,code_act,Run `pwd` and confirm you are inside the experiment workspace before editing paths.,"[""shell"", ""pwd"", ""sanity-check""]",
code_rg_search,code_act,"Run `rg -n ""keyword""` across the repo to locate definitions or uses before assuming semantics.","[""shell"", ""rg"", ""search""]",
code_rg_fortran_files,code_act,List Fortran sources with `rg --files -g '*.f90'` to scope the search surface.,"[""shell"", ""rg"", ""inventory""]",
code_rg_module,code_act,"Search for module or routine names with `rg -n ""module_name"" -g '*.f90'` to find declarations.","[""shell"", ""rg"", ""fortran""]",
code_rg_call_sites,code_act,"Use `rg -n ""call routine_name"" -g '*.f90'` to find call sites and verify control flow.","[""shell"", ""rg"", ""call-graph""]",
code_rg_flags,code_act,"Track a config flag via `rg -n ""flag_name""` to see where branches diverge.","[""shell"", ""rg"", ""config""]",
code_head_preview,code_act,"Call `head -n 40 path/to/file` to see file headers, module names, and includes.","[""shell"", ""head"", ""preview""]",
code_tail_logs,code_act,Use `tail -n 40` on build or run logs to spot the most recent error lines.,"[""shell"", ""tail"", ""sanity-check""]",
code_wc_loc,code_act,`wc -l file.f90` gives a quick sense of file size before deep edits.,"[""shell"", ""wc"", ""metrics""]",
code_sed_context,code_act,"Use `sed -n '120,200p' file.f90` or `nl -ba file.f90 | sed -n '120,200p'` to view numbered context.","[""shell"", ""sed"", ""preview""]",
code_diff_versions,code_act,Use `git diff -U3 path/to/file` to compare local edits with expected changes.,"[""shell"", ""git"", ""diff""]",
code_git_status,code_act,Run `git status -sb` to confirm which files changed before and after patching.,"[""shell"", ""git"", ""status""]",
code_rg_preproc,code_act,"Search preprocessor guards with `rg -n ""#if|#ifdef"" -g '*.[Ff]90'` to check compile-time branches.","[""shell"", ""rg"", ""preprocessor""]",
code_rg_parameters,code_act,"Find constants with `rg -n ""parameter"" -g '*.f90'` to locate default values.","[""shell"", ""rg"", ""constants""]",
code_python_find_defs,code_act,Use a short Python regex to list subroutine/module names so you can map the file structure quickly.,"[""python"", ""parsing"", ""fortran""]",
code_python_find_assign,code_act,Write a Python snippet to scan for assignments to a target variable and print line numbers.,"[""python"", ""search"", ""variables""]",
code_python_extract_block,code_act,Use Python to extract and print a specific block (between two markers) when the file is large.,"[""python"", ""parsing"", ""context""]",
code_python_call_graph,code_act,Use Python to scan `call` statements across files and build a quick caller list for a routine.,"[""python"", ""call-graph"", ""analysis""]",
code_python_compare_files,code_act,Use Python's difflib to compare two versions of a source file and isolate the minimal delta.,"[""python"", ""diff"", ""analysis""]",
code_rg_runtime_params,code_act,"Search namelist or input parameters with `rg -n ""&"" -g '*.nml'` or `rg -n ""namelist""` to trace runtime flags.","[""shell"", ""rg"", ""runtime""]",
code_find_config_files,code_act,List relevant configs with `rg --files -g '*.nml' -g '*.in'` so you know where inputs live.,"[""shell"", ""rg"", ""config""]",
code_rg_todo,code_act,"Use `rg -n ""TODO|FIXME""` to see if there are hints about known issues.","[""shell"", ""rg"", ""context""]",
code_python_symbol_counts,code_act,Use Python to count how often a symbol appears per file to prioritize where to inspect first.,"[""python"", ""metrics"", ""analysis""]",
code_checksum_validate,code_act,Compute `md5sum path/to/file` before and after edits to confirm you are modifying the intended file.,"[""shell"", ""md5sum"", ""integrity""]",
